Vernier Format 2
Untitled.cmbl 9/26/2024 11:11:14 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	31
1	36
1.5	29
2	27
2.5	37
3	43
3.5	44
4	38
4.5	36
5	28
5.5	38
6	37
6.5	37
7	45
7.5	35
8	40
8.5	30
9	37
9.5	37
10	37
10.5	31
11	36
11.5	33
12	29
12.5	39
13	26
13.5	38
14	40
14.5	33
15	30
15.5	25
16	39
16.5	42
17	38
17.5	47
18	34
18.5	34
19	42
19.5	31
20	37
20.5	36
21	35
21.5	32
22	52
22.5	39
23	31
23.5	37
24	38
24.5	38
25	34
25.5	28
26	38
26.5	46
27	44
27.5	36
28	30
28.5	41
29	35
29.5	45
30	37
30.5	42
31	28
31.5	44
32	37
32.5	36
33	43
33.5	34
34	46
34.5	38
35	38
35.5	32
36	41
36.5	44
37	35
37.5	34
38	30
38.5	50
39	35
39.5	30
40	32
40.5	40
41	27
41.5	28
42	42
42.5	34
43	36
43.5	32
44	41
44.5	39
45	33
45.5	36
46	44
46.5	31
47	42
47.5	31
48	32
48.5	40
49	40
49.5	40
50	45
50.5	32
51	37
51.5	46
52	36
52.5	20
53	36
53.5	41
54	29
54.5	42
55	31
55.5	37
56	34
56.5	34
57	31
57.5	35
58	40
58.5	40
59	36
59.5	37
60	31
60.5	40
61	39
61.5	44
62	40
62.5	40
63	44
63.5	40
64	37
64.5	40
65	35
65.5	28
66	44
66.5	34
67	24
67.5	33
68	44
68.5	44
69	52
69.5	35
70	30
70.5	43
71	34
71.5	32
72	34
72.5	41
73	30
73.5	27
74	33
74.5	41
75	31
75.5	32
76	40
76.5	41
77	35
77.5	36
78	37
78.5	34
79	45
79.5	38
80	46
80.5	42
81	38
81.5	38
82	30
82.5	38
83	31
83.5	37
84	44
84.5	33
85	39
85.5	30
86	35
86.5	28
87	33
87.5	30
88	40
88.5	28
89	32
89.5	36
90	38
90.5	28
91	37
91.5	37
92	40
92.5	35
93	48
93.5	33
94	42
94.5	30
95	42
95.5	44
96	34
96.5	40
97	36
97.5	26
98	31
98.5	42
99	38
99.5	36
100	32
100.5	46
101	43
101.5	28
102	38
102.5	45
103	43
103.5	44
104	37
104.5	34
105	28
105.5	24
106	34
106.5	40
107	37
107.5	40
108	42
108.5	38
109	32
109.5	34
110	34
110.5	36
111	26
111.5	33
112	32
112.5	50
113	31
113.5	32
114	37
114.5	32
115	39
115.5	50
116	29
116.5	26
117	32
117.5	32
118	27
118.5	43
119	37
119.5	45
120	33
120.5	29
121	40
121.5	38
122	39
122.5	33
123	38
123.5	41
124	44
124.5	37
125	28
125.5	31
126	31
126.5	45
127	38
127.5	42
128	44
128.5	36
129	38
129.5	40
130	35
130.5	35
131	38
131.5	45
132	44
132.5	34
133	37
133.5	31
134	37
134.5	31
135	45
135.5	39
136	28
136.5	43
137	36
137.5	40
138	32
138.5	39
139	34
139.5	38
140	36
140.5	46
141	45
141.5	30
142	25
142.5	36
143	45
143.5	37
144	38
144.5	36
145	27
145.5	29
146	37
146.5	32
147	36
147.5	37
148	30
148.5	41
149	37
149.5	28
150	32
150.5	52
151	37
151.5	41
152	22
152.5	38
153	38
153.5	36
154	29
154.5	36
155	30
155.5	33
156	46
156.5	41
157	34
157.5	39
158	42
158.5	38
159	31
159.5	46
160	23
160.5	29
161	40
161.5	43
162	27
162.5	46
163	31
163.5	30
164	46
164.5	40
165	40
165.5	31
166	37
166.5	24
167	33
167.5	38
168	43
168.5	34
169	34
169.5	32
170	38
170.5	48
171	35
171.5	48
172	38
172.5	39
173	40
173.5	40
174	40
174.5	38
175	33
175.5	35
176	36
176.5	28
177	41
177.5	43
178	32
178.5	43
179	44
179.5	29
180	39
180.5	29
181	33
181.5	39
182	35
182.5	36
183	39
183.5	40
184	35
184.5	53
185	43
185.5	35
186	43
186.5	44
187	34
187.5	32
188	36
188.5	38
189	34
189.5	35
190	37
190.5	30
191	32
191.5	45
192	31
192.5	34
193	32
193.5	44
194	30
194.5	36
195	35
195.5	30
196	34
196.5	47
197	43
197.5	33
198	36
198.5	37
199	46
199.5	33
200	36
200.5	35
201	32
201.5	47
