Vernier Format 2
Untitled.cmbl 9/26/2024 12:33:55 .
Latest
Time	Radiation
t	Rad
s	Counts

0.1	2
0.2	3
0.3	0
0.4	0
0.5	2
0.6	3
0.7	3
0.8	0
0.9	1
1	1
1.1	4
1.2	2
1.3	2
1.4	5
1.5	1
1.6	3
1.7	2
1.8	2
1.9	2
2	1
2.1	1
2.2	3
2.3	2
2.4	2
2.5	4
2.6	3
2.7	4
2.8	2
2.9	2
3	4
3.1	3
3.2	1
3.3	3
3.4	4
3.5	2
3.6	3
3.7	3
3.8	3
3.9	1
4	2
4.1	2
4.2	3
4.3	0
4.4	2
4.5	3
4.6	3
4.7	3
4.8	1
4.9	3
5	2
5.1	2
5.2	3
5.3	2
5.4	1
5.5	2
5.6	3
5.7	4
5.8	1
5.9	2
6	0
6.1	3
6.2	2
6.3	0
6.4	2
6.5	0
6.6	0
6.7	1
6.8	3
6.9	3
7	2
7.1	5
7.2	1
7.3	2
7.4	2
7.5	2
7.6	4
7.7	1
7.8	2
7.9	6
8	2
8.1	2
8.2	2
8.3	1
8.4	2
8.5	1
8.6	1
8.7	5
8.8	5
8.9	2
9	2
9.1	1
9.2	2
9.3	1
9.4	1
9.5	0
9.6	4
9.7	1
9.8	2
9.9	2
10	6
10.1	4
10.2	0
10.3	1
10.4	4
10.5	2
10.6	5
10.7	1
10.8	5
10.9	2
11	2
11.1	5
11.2	3
11.3	1
11.4	5
11.5	1
11.6	1
11.7	3
11.8	0
11.9	0
12	4
12.1	4
12.2	2
12.3	2
12.4	3
12.5	3
12.6	0
12.7	2
12.8	2
12.9	2
13	3
13.1	3
13.2	0
13.3	3
13.4	4
13.5	1
13.6	1
13.7	3
13.8	1
13.9	4
14	2
14.1	1
14.2	3
14.3	1
14.4	6
14.5	2
14.6	2
14.7	4
14.8	3
14.9	1
15	1
15.1	0
15.2	3
15.3	3
15.4	0
15.5	0
15.6	1
15.7	1
15.8	2
15.9	7
16	5
16.1	1
16.2	1
16.3	2
16.4	2
16.5	0
16.6	5
16.7	4
16.8	2
16.9	3
17	3
17.1	1
17.2	1
17.3	3
17.4	0
17.5	3
17.6	3
17.7	2
17.8	3
17.9	0
18	2
18.1	1
18.2	3
18.3	5
18.4	2
18.5	1
18.6	2
18.7	1
18.8	2
18.9	3
19	2
19.1	2
19.2	3
19.3	1
19.4	0
19.5	1
19.6	4
19.7	2
19.8	1
19.9	2
20	1
