Vernier Format 2
Untitled.cmbl 10/3/2024 10:33:10 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	34
1	37
1.5	33
2	32
2.5	38
3	39
3.5	36
4	40
4.5	35
5	38
5.5	34
6	30
6.5	33
7	32
7.5	42
8	33
8.5	35
9	39
9.5	34
10	36
10.5	34
11	29
11.5	54
12	35
12.5	39
13	36
13.5	41
14	38
14.5	43
15	32
15.5	38
16	27
16.5	36
17	45
17.5	42
18	30
18.5	39
19	36
19.5	35
20	33
20.5	34
21	42
21.5	39
22	33
22.5	36
23	35
23.5	40
24	37
24.5	38
25	35
25.5	30
26	37
26.5	36
27	39
27.5	25
28	30
28.5	39
29	35
29.5	44
30	34
