Vernier Format 2
Untitled.cmbl 10/3/2024 12:22:07 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	40
1	34
1.5	41
2	34
2.5	30
3	37
3.5	44
4	32
4.5	33
5	42
5.5	23
6	44
6.5	41
7	40
7.5	34
8	46
8.5	38
9	36
9.5	39
10	42
10.5	40
11	37
11.5	42
12	43
12.5	38
13	35
13.5	50
14	40
14.5	43
15	41
15.5	34
16	41
16.5	35
17	45
17.5	36
18	36
18.5	39
19	46
19.5	40
20	34
20.5	37
21	31
21.5	40
22	32
22.5	32
23	35
23.5	35
24	41
24.5	30
25	27
25.5	36
26	26
26.5	42
27	45
27.5	36
28	43
28.5	39
29	34
29.5	41
30	31
30.5	36
31	44
31.5	26
32	30
32.5	30
33	35
33.5	37
34	32
34.5	40
35	29
35.5	29
36	35
36.5	42
37	39
37.5	32
38	39
38.5	38
39	48
39.5	41
40	39
40.5	33
41	27
41.5	35
42	47
42.5	38
43	30
43.5	40
44	36
44.5	31
45	40
45.5	40
46	37
46.5	35
47	43
47.5	28
48	41
48.5	39
49	42
49.5	45
50	38
50.5	31
51	41
51.5	38
52	40
52.5	34
53	44
53.5	38
54	50
54.5	33
55	37
55.5	38
56	24
56.5	29
57	43
57.5	21
58	25
58.5	36
59	33
59.5	53
60	38
