Vernier Format 2
Untitled.cmbl 10/10/2024 11:10:47 .
Latest
Time	Radiation
t	Rad
s	Counts

10	313
20	325
30	304
40	300
50	268
60	278
70	251
80	261
90	239
100	235
110	223
120	190
130	208
140	190
150	182
160	171
170	171
180	158
190	150
200	156
210	158
220	141
230	136
240	117
250	123
260	122
270	109
280	100
290	92
300	91
310	104
320	102
330	60
340	72
350	77
360	86
370	69
380	61
390	73
400	64
410	66
420	51
430	60
440	59
450	53
460	49
470	39
480	39
490	45
500	33
510	40
520	49
530	34
540	42
550	27
560	46
570	40
580	32
590	29
600	27
