Vernier Format 2
Untitled.cmbl 10/10/2024 11:48:27 .
Latest
Time	Radiation
t	Rad
s	Counts

10	11
20	6
30	11
40	7
50	4
60	5
70	7
80	7
90	8
100	10
110	5
120	3
130	5
140	5
150	8
160	4
170	6
180	9
190	6
200	5
210	10
220	7
230	6
240	7
250	5
260	8
270	8
280	10
290	10
300	7
310	5
320	7
330	5
340	4
350	7
360	5
370	3
380	11
390	6
400	13
410	7
420	5
430	8
440	8
450	6
460	6
470	5
480	7
490	10
500	3
510	5
520	7
530	7
540	4
550	7
560	7
570	6
580	6
590	7
600	6
