Vernier Format 2
Untitled.cmbl 9/26/2024 11:47:57 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	32
1	33
1.5	37
2	24
2.5	42
3	33
3.5	45
4	38
4.5	42
5	33
5.5	32
6	32
6.5	36
7	27
7.5	37
8	37
8.5	41
9	28
9.5	46
10	39
10.5	39
11	36
11.5	29
12	38
12.5	35
13	28
13.5	31
14	40
14.5	40
15	42
15.5	40
16	32
16.5	34
17	47
17.5	35
18	38
18.5	36
19	35
19.5	39
20	50
20.5	35
21	41
21.5	40
22	39
22.5	42
23	38
23.5	29
24	48
24.5	41
25	43
25.5	41
26	28
26.5	41
27	40
27.5	31
28	36
28.5	41
29	34
29.5	36
30	32
30.5	28
31	39
31.5	32
32	37
32.5	39
33	28
33.5	29
34	39
34.5	42
35	38
35.5	32
36	25
36.5	39
37	28
37.5	40
38	32
38.5	31
39	39
39.5	35
40	35
40.5	32
41	33
41.5	23
42	38
42.5	36
43	34
43.5	36
44	38
44.5	33
45	37
45.5	28
46	38
46.5	44
47	37
47.5	30
48	39
48.5	56
49	41
49.5	40
50	40
50.5	36
51	32
51.5	42
52	39
52.5	29
53	37
53.5	31
54	41
54.5	31
55	45
55.5	41
56	45
56.5	48
57	25
57.5	36
58	27
58.5	33
59	30
59.5	49
60	43
60.5	28
61	38
61.5	24
62	29
62.5	40
63	37
63.5	27
64	38
64.5	31
65	51
65.5	35
66	31
66.5	35
67	37
67.5	32
68	37
68.5	33
69	35
69.5	26
70	33
70.5	40
71	43
71.5	36
72	37
72.5	39
73	46
73.5	47
74	30
74.5	32
75	37
75.5	45
76	29
76.5	47
77	31
77.5	38
78	38
78.5	48
79	42
79.5	27
80	39
80.5	42
81	37
81.5	35
82	35
82.5	32
83	38
83.5	28
84	40
84.5	31
85	30
85.5	42
86	33
86.5	41
87	31
87.5	32
88	35
88.5	33
89	35
89.5	28
90	43
90.5	30
91	40
91.5	42
92	38
92.5	39
93	47
93.5	30
94	29
94.5	40
95	40
95.5	35
96	42
96.5	42
97	45
97.5	25
98	42
98.5	53
99	31
99.5	35
100	40
100.5	36
101	43
101.5	35
102	42
102.5	36
103	28
103.5	30
104	30
104.5	39
105	32
105.5	33
106	37
106.5	40
107	37
107.5	29
108	40
108.5	30
109	31
109.5	36
110	36
110.5	37
111	40
111.5	36
112	35
112.5	46
113	31
113.5	35
114	30
114.5	35
115	39
115.5	35
116	36
116.5	33
117	32
117.5	29
118	45
118.5	39
119	35
119.5	34
120	36
120.5	34
121	41
121.5	33
122	42
122.5	44
123	32
123.5	46
124	29
124.5	34
125	33
125.5	31
126	43
126.5	38
127	29
127.5	30
128	44
128.5	32
129	35
129.5	35
130	30
130.5	40
131	29
131.5	29
132	51
132.5	36
133	39
133.5	28
134	32
134.5	39
135	44
135.5	45
136	39
136.5	42
137	39
137.5	33
138	39
138.5	37
139	38
139.5	39
140	25
140.5	36
141	40
141.5	40
142	30
142.5	37
143	27
143.5	46
144	37
144.5	26
145	33
145.5	31
146	37
146.5	28
147	35
147.5	44
148	30
148.5	39
149	36
149.5	32
150	37
150.5	37
151	45
151.5	42
152	30
152.5	38
153	40
153.5	29
154	29
154.5	25
155	37
155.5	39
156	32
156.5	32
157	31
157.5	44
158	41
158.5	46
159	39
159.5	36
160	33
160.5	37
161	32
161.5	32
162	30
162.5	41
163	41
163.5	44
164	32
164.5	33
165	41
165.5	33
166	31
166.5	45
167	52
167.5	47
168	35
168.5	37
169	47
169.5	38
170	35
170.5	38
171	28
171.5	30
172	44
172.5	41
173	36
173.5	38
174	30
174.5	31
175	44
175.5	35
176	42
176.5	37
177	33
177.5	40
178	46
178.5	37
179	36
179.5	42
180	40
180.5	38
181	40
181.5	41
182	35
182.5	27
183	36
183.5	42
184	31
184.5	32
185	31
185.5	33
186	41
186.5	36
187	37
187.5	27
188	37
188.5	29
189	32
189.5	39
190	47
190.5	47
191	34
191.5	37
192	41
192.5	33
193	43
193.5	37
194	37
194.5	41
195	41
195.5	35
196	35
196.5	30
197	35
197.5	37
198	30
198.5	35
199	35
199.5	37
200	42
200.5	36
201	43
201.5	36
