Vernier Format 2
Untitled.cmbl 9/26/2024 12:17:32 .
Run 1
Time	Radiation
t	Rad
s	Counts

0.05	4
0.1	3
0.15	7
0.2	0
0.25	8
0.3	4
0.35	2
0.4	6
0.45	2
0.5	2
0.55	5
0.6	3
0.65	2
0.7	4
0.75	3
0.8	2
0.85	4
0.9	3
0.95	2
1	4
1.05	5
1.1	1
1.15	2
1.2	3
1.25	3
1.3	5
1.35	7
1.4	4
1.45	3
1.5	2
1.55	3
1.6	4
1.65	7
1.7	1
1.75	0
1.8	2
1.85	2
1.9	3
1.95	4
2	4
2.05	1
2.1	4
2.15	3
2.2	4
2.25	5
2.3	4
2.35	5
2.4	5
2.45	5
2.5	5
2.55	2
2.6	2
2.65	6
2.7	6
2.75	8
2.8	3
2.85	4
2.9	4
2.95	1
3	2
3.05	5
3.1	5
3.15	4
3.2	2
3.25	5
3.3	9
3.35	2
3.4	2
3.45	4
3.5	3
3.55	2
3.6	4
3.65	6
3.7	5
3.75	4
3.8	4
3.85	1
3.9	3
3.95	6
4	8
4.05	3
4.1	6
4.15	3
4.2	4
4.25	2
4.3	1
4.35	6
4.4	7
4.45	4
4.5	8
4.55	5
4.6	6
4.65	3
4.7	2
4.75	3
4.8	5
4.85	4
4.9	4
4.95	3
5	2
5.05	6
5.1	2
5.15	3
5.2	5
5.25	5
5.3	3
5.35	2
5.4	6
5.45	5
5.5	3
5.55	2
5.6	3
5.65	6
5.7	3
5.75	2
5.8	7
5.85	2
5.9	2
5.95	3
6	2
6.05	5
6.1	3
6.15	2
6.2	5
6.25	2
6.3	1
6.35	3
6.4	2
6.45	3
6.5	5
6.55	6
6.6	5
6.65	4
6.7	5
6.75	3
6.8	8
6.85	4
6.9	2
6.95	5
7	3
7.05	4
7.1	3
7.15	4
7.2	6
7.25	6
7.3	3
7.35	4
7.4	2
7.45	5
7.5	5
7.55	4
7.6	5
7.65	3
7.7	2
7.75	4
7.8	4
7.85	1
7.9	2
7.95	1
8	4
8.05	3
8.1	4
8.15	1
8.2	6
8.25	3
8.3	4
8.35	5
8.4	4
8.45	6
8.5	2
8.55	3
8.6	6
8.65	4
8.7	5
8.75	2
8.8	0
8.85	3
8.9	5
8.95	5
9	4
9.05	4
9.1	3
9.15	3
9.2	5
9.25	2
9.3	7
9.35	3
9.4	4
9.45	3
9.5	1
9.55	4
9.6	4
9.65	1
9.7	2
9.75	4
9.8	1
9.85	5
9.9	6
9.95	3
10	2
10.05	1
10.1	4
10.15	3
10.2	3
10.25	2
10.3	8
10.35	2
10.4	4
10.45	2
10.5	5
10.55	4
10.6	3
10.65	5
10.7	3
10.75	4
10.8	2
10.85	4
10.9	3
10.95	2
11	3
11.05	4
11.1	4
11.15	5
11.2	3
11.25	4
11.3	4
11.35	3
11.4	12
11.45	2
11.5	6
11.55	1
11.6	5
11.65	2
11.7	7
11.75	4
11.8	4
11.85	5
11.9	3
11.95	3
12	1
12.05	3
12.1	2
12.15	6
12.2	6
12.25	6
12.3	5
12.35	4
12.4	3
12.45	3
12.5	3
12.55	3
12.6	7
12.65	3
12.7	6
12.75	5
12.8	5
12.85	5
12.9	2
12.95	3
13	1
13.05	5
13.1	2
13.15	2
13.2	2
13.25	4
13.3	4
13.35	5
13.4	0
13.45	4
13.5	3
13.55	7
13.6	2
13.65	6
13.7	5
13.75	7
13.8	3
13.85	3
13.9	5
13.95	6
14	6
14.05	4
14.1	3
14.15	3
14.2	2
14.25	2
14.3	2
14.35	1
14.4	4
14.45	6
14.5	4
14.55	3
14.6	3
14.65	5
14.7	7
14.75	5
14.8	2
14.85	2
14.9	2
14.95	9
15	3
15.05	4
15.1	5
15.15	5
15.2	5
15.25	3
15.3	5
15.35	4
15.4	5
15.45	8
15.5	5
15.55	7
15.6	5
15.65	7
15.7	3
15.75	0
15.8	1
15.85	4
15.9	6
15.95	1
16	1
16.05	1
16.1	5
16.15	8
16.2	3
16.25	4
16.3	7
16.35	6
16.4	3
16.45	1
16.5	3
16.55	3
16.6	3
16.65	5
16.7	4
16.75	5
16.8	2
16.85	2
16.9	5
16.95	1
17	2
17.05	5
