Vernier Format 2
Untitled.cmbl 9/26/2024 12:34:36 .
Latest
Time	Radiation
t	Rad
s	Counts

0.1	1
0.2	3
0.3	0
0.4	0
0.5	1
0.6	2
0.7	2
0.8	1
0.9	0
1	2
1.1	3
1.2	0
1.3	3
1.4	0
1.5	3
1.6	1
1.7	2
1.8	0
1.9	1
2	3
2.1	1
2.2	1
2.3	2
2.4	1
2.5	0
2.6	4
2.7	0
2.8	0
2.9	2
3	3
3.1	0
3.2	1
3.3	1
3.4	2
3.5	3
3.6	1
3.7	2
3.8	1
3.9	2
4	0
4.1	0
4.2	0
4.3	1
4.4	4
4.5	1
4.6	0
4.7	0
4.8	1
4.9	0
5	1
5.1	1
5.2	1
5.3	3
5.4	0
5.5	2
5.6	0
5.7	3
5.8	2
5.9	1
6	0
6.1	1
6.2	0
6.3	0
6.4	1
6.5	0
6.6	1
6.7	2
6.8	0
6.9	0
7	0
7.1	1
7.2	0
7.3	2
7.4	1
7.5	1
7.6	2
7.7	1
7.8	0
7.9	1
8	1
8.1	1
8.2	1
8.3	0
8.4	0
8.5	0
8.6	2
8.7	0
8.8	2
8.9	3
9	2
9.1	0
9.2	0
9.3	0
9.4	2
9.5	1
9.6	2
9.7	1
9.8	3
9.9	1
10	1
10.1	1
10.2	1
10.3	1
10.4	2
10.5	1
10.6	3
10.7	2
10.8	0
10.9	1
11	1
11.1	2
11.2	3
11.3	0
11.4	1
11.5	2
11.6	3
11.7	0
11.8	0
11.9	4
12	1
12.1	2
12.2	0
12.3	3
12.4	0
12.5	0
12.6	2
12.7	2
12.8	0
12.9	1
13	1
13.1	0
13.2	1
13.3	0
13.4	1
13.5	2
13.6	1
13.7	2
13.8	1
13.9	1
14	1
14.1	0
14.2	0
14.3	3
14.4	3
14.5	1
14.6	0
14.7	4
14.8	0
14.9	2
15	1
15.1	1
15.2	1
15.3	5
15.4	4
15.5	2
15.6	1
15.7	1
15.8	0
15.9	1
16	0
16.1	0
16.2	1
16.3	0
16.4	2
16.5	2
16.6	2
16.7	0
16.8	4
16.9	1
17	1
17.1	2
17.2	1
17.3	0
17.4	2
17.5	1
17.6	0
17.7	4
17.8	0
17.9	1
18	1
18.1	1
18.2	2
18.3	0
18.4	0
18.5	0
18.6	1
18.7	3
18.8	0
18.9	2
19	1
19.1	3
19.2	0
19.3	0
19.4	1
19.5	1
19.6	0
19.7	1
19.8	1
19.9	1
20	2
