Vernier Format 2
Untitled.cmbl 9/26/2024 12:33:18 .
Latest
Time	Radiation
t	Rad
s	Counts

0.1	2
0.2	1
0.3	0
0.4	1
0.5	0
0.6	1
0.7	1
0.8	1
0.9	0
1	0
1.1	0
1.2	0
1.3	3
1.4	0
1.5	0
1.6	1
1.7	0
1.8	1
1.9	0
2	2
2.1	0
2.2	2
2.3	1
2.4	0
2.5	1
2.6	1
2.7	0
2.8	3
2.9	0
3	0
3.1	0
3.2	0
3.3	0
3.4	0
3.5	1
3.6	1
3.7	0
3.8	1
3.9	0
4	1
4.1	0
4.2	2
4.3	0
4.4	0
4.5	1
4.6	1
4.7	1
4.8	0
4.9	1
5	1
5.1	1
5.2	1
5.3	1
5.4	1
5.5	1
5.6	0
5.7	0
5.8	1
5.9	1
6	2
6.1	0
6.2	0
6.3	1
6.4	0
6.5	0
6.6	0
6.7	1
6.8	2
6.9	0
7	0
7.1	1
7.2	1
7.3	0
7.4	0
7.5	1
7.6	2
7.7	2
7.8	1
7.9	1
8	0
8.1	0
8.2	0
8.3	2
8.4	2
8.5	1
8.6	1
8.7	0
8.8	0
8.9	0
9	0
9.1	3
9.2	0
9.3	1
9.4	1
9.5	0
9.6	1
9.7	0
9.8	2
9.9	2
10	0
10.1	1
10.2	0
10.3	1
10.4	1
10.5	2
10.6	2
10.7	2
10.8	0
10.9	2
11	1
11.1	1
11.2	0
11.3	0
11.4	0
11.5	1
11.6	0
11.7	2
11.8	1
11.9	0
12	0
12.1	0
12.2	1
12.3	1
12.4	1
12.5	0
12.6	1
12.7	0
12.8	0
12.9	0
13	0
13.1	0
13.2	1
13.3	2
13.4	0
13.5	1
13.6	0
13.7	1
13.8	2
13.9	0
14	1
14.1	0
14.2	1
14.3	2
14.4	1
14.5	2
14.6	0
14.7	0
14.8	0
14.9	0
15	1
15.1	0
15.2	1
15.3	0
15.4	2
15.5	2
15.6	2
15.7	2
15.8	0
15.9	1
16	0
16.1	0
16.2	0
16.3	0
16.4	1
16.5	3
16.6	2
16.7	1
16.8	1
16.9	0
17	2
17.1	1
17.2	3
17.3	3
17.4	0
17.5	1
17.6	0
17.7	2
17.8	0
17.9	1
18	0
18.1	0
18.2	1
18.3	0
18.4	2
18.5	1
18.6	2
18.7	1
18.8	1
18.9	1
19	2
19.1	1
19.2	0
19.3	1
19.4	2
19.5	1
19.6	1
19.7	1
19.8	1
19.9	1
20	3
