Vernier Format 2
Untitled.cmbl 10/3/2024 10:24:41 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	43
1	32
1.5	40
2	42
2.5	30
3	31
3.5	34
4	41
4.5	35
5	30
5.5	36
6	40
6.5	47
7	29
7.5	37
8	40
8.5	45
9	40
9.5	34
10	34
10.5	45
11	28
11.5	23
12	33
12.5	35
13	43
13.5	37
14	35
14.5	34
15	43
15.5	34
16	33
16.5	32
17	34
17.5	48
18	33
18.5	41
19	32
19.5	40
20	40
20.5	33
21	40
21.5	36
22	40
22.5	37
23	32
23.5	35
24	29
24.5	31
25	39
25.5	40
26	37
26.5	41
27	48
27.5	40
28	27
28.5	34
29	37
29.5	31
30	32
