Vernier Format 2
Untitled.cmbl 10/3/2024 10:49:30 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	35
1	44
1.5	27
2	34
2.5	40
3	42
3.5	30
4	32
4.5	31
5	33
5.5	44
6	35
6.5	45
7	28
7.5	33
8	34
8.5	48
9	39
9.5	31
10	26
10.5	36
11	53
11.5	33
12	29
12.5	36
13	39
13.5	29
14	40
14.5	42
15	44
15.5	41
16	37
16.5	44
17	40
17.5	41
18	34
18.5	48
19	45
19.5	37
20	38
20.5	30
21	53
21.5	36
22	37
22.5	39
23	29
23.5	35
24	37
24.5	30
25	35
25.5	46
26	29
26.5	38
27	29
27.5	36
28	34
28.5	35
29	37
29.5	29
30	37
