Vernier Format 2
Untitled.cmbl 10/3/2024 12:09:14 .
Latest
Time	Radiation
t	Rad
s	Counts

0.5	33
1	46
1.5	45
2	40
2.5	36
3	32
3.5	46
4	29
4.5	40
5	29
5.5	47
6	44
6.5	33
7	36
7.5	32
8	41
8.5	36
9	42
9.5	27
10	46
10.5	30
11	36
11.5	37
12	40
12.5	38
13	43
13.5	34
14	40
14.5	31
15	29
15.5	34
16	28
16.5	49
17	39
17.5	28
18	33
18.5	40
19	36
19.5	38
20	31
20.5	35
21	36
21.5	46
22	31
22.5	33
23	40
23.5	39
24	30
24.5	31
25	31
25.5	45
26	37
26.5	47
27	39
27.5	34
28	38
28.5	30
29	51
29.5	39
30	30
30.5	39
31	42
31.5	36
32	31
32.5	34
33	50
33.5	34
34	43
34.5	40
35	46
35.5	30
36	35
36.5	41
37	36
37.5	32
38	43
38.5	34
39	32
39.5	30
40	35
40.5	43
41	31
41.5	36
42	43
42.5	39
43	34
43.5	32
44	38
44.5	35
45	41
45.5	36
46	36
46.5	34
47	47
47.5	37
48	37
48.5	28
49	32
49.5	29
50	38
50.5	33
51	33
51.5	32
52	36
52.5	44
53	35
53.5	41
54	38
54.5	32
55	41
55.5	37
56	38
56.5	48
57	35
57.5	33
58	45
58.5	29
59	39
59.5	47
60	46
60.5	34
61	44
61.5	37
62	36
62.5	32
63	33
63.5	34
64	39
64.5	33
65	37
65.5	49
66	34
66.5	44
67	35
67.5	26
68	33
68.5	39
69	37
69.5	40
70	38
70.5	39
71	37
71.5	40
72	36
72.5	33
73	32
73.5	46
74	39
74.5	33
75	39
75.5	29
76	47
76.5	31
77	30
77.5	44
78	30
78.5	35
79	28
79.5	36
80	32
80.5	23
81	33
81.5	31
82	41
82.5	28
83	43
83.5	41
84	36
84.5	33
85	33
85.5	37
86	38
86.5	40
87	36
87.5	42
88	39
88.5	33
89	45
89.5	46
90	34
90.5	39
91	37
91.5	32
92	28
92.5	36
93	47
93.5	41
94	43
94.5	42
95	33
95.5	32
96	40
96.5	30
97	36
97.5	37
98	34
98.5	47
99	40
99.5	30
100	36
100.5	37
101	37
101.5	37
102	48
102.5	34
103	37
103.5	39
104	36
104.5	29
105	33
105.5	31
106	41
106.5	32
107	43
107.5	31
108	37
108.5	26
109	42
109.5	38
110	42
110.5	26
111	39
111.5	31
112	40
112.5	32
113	44
113.5	34
114	30
114.5	38
115	23
115.5	40
116	35
116.5	36
117	49
117.5	40
118	36
118.5	36
119	34
119.5	39
120	35
120.5	41
121	32
121.5	46
122	35
122.5	38
123	42
123.5	38
124	43
124.5	34
125	38
125.5	29
126	42
126.5	45
127	33
127.5	35
128	38
128.5	32
129	41
129.5	33
130	41
130.5	36
131	32
131.5	37
132	33
132.5	35
133	44
133.5	27
134	29
134.5	33
135	33
135.5	43
136	36
136.5	48
137	32
137.5	37
138	46
138.5	39
139	42
139.5	31
140	34
140.5	42
141	44
141.5	24
142	37
142.5	28
143	41
143.5	37
144	35
144.5	40
145	25
145.5	33
146	31
146.5	44
147	52
147.5	35
148	30
148.5	41
149	22
149.5	29
150	37
150.5	41
151	35
151.5	50
152	32
152.5	31
153	39
153.5	27
154	46
154.5	44
155	48
155.5	27
156	42
156.5	27
157	30
157.5	35
158	30
158.5	43
159	37
159.5	50
160	31
160.5	36
161	41
161.5	32
162	38
162.5	34
163	32
163.5	30
164	38
164.5	38
165	44
165.5	39
166	28
166.5	34
167	31
167.5	44
168	41
168.5	41
169	29
169.5	38
170	45
170.5	41
171	36
171.5	40
172	43
172.5	41
173	37
173.5	35
174	48
174.5	36
175	26
175.5	39
176	33
176.5	40
177	32
177.5	40
178	33
178.5	40
179	32
179.5	47
180	39
180.5	38
181	43
181.5	44
182	37
182.5	42
183	35
183.5	27
184	30
184.5	29
185	34
185.5	42
186	32
186.5	45
187	32
187.5	42
188	38
188.5	42
189	34
189.5	47
190	29
190.5	39
191	40
191.5	45
192	30
192.5	31
193	41
193.5	44
194	33
194.5	37
195	39
195.5	25
196	36
196.5	27
197	32
197.5	31
198	39
198.5	35
199	33
199.5	22
200	37
200.5	38
201	29
201.5	40
