Vernier Format 2
Untitled.cmbl 10/10/2024 10:57:32 .
Latest
Time	Radiation
t	Rad
s	Counts

10	23
20	20
30	17
40	23
50	17
60	25
70	24
80	29
90	26
100	29
110	24
120	20
130	28
140	29
150	29
160	25
170	28
180	24
190	31
200	27
210	20
220	26
230	14
240	19
250	14
260	31
270	23
280	35
290	16
300	24
310	26
320	19
330	32
340	24
350	30
360	22
370	22
380	34
390	28
400	19
410	16
420	16
430	22
440	15
450	19
460	18
470	11
480	14
490	25
500	22
510	29
520	13
530	30
540	15
550	24
560	18
570	25
580	24
590	26
600	19
