Vernier Format 2
Untitled.cmbl 10/24/2024 12:22:45 .
Latest
Time	Position	Velocity 1	Acceleration 1	Angle 2	Velocity 2	Acceleration 2
t	x	v 1	acc 1	Angle 2	v 2	acc 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

0.05	0.8785945	0.14063	-0.0703785185185	0.209439510239	3.83972435439	-0.699209064534
0.1	0.885626	0.138915	-0.127481666667	0.401425727959	3.82517994395	-1.53901409659
0.15	0.892829	0.131997833333	-0.214470277778	0.593411945678	3.76409342013	-3.1044236047
0.2	0.8991745	0.118620833333	-0.317147962963	0.785398163397	3.56822869297	-5.53387882893
0.25	0.9050055	0.0981361111111	-0.384456419753	0.959931088597	3.17068147446	-7.45050891492
0.3	0.90895	0.0773655555556	-0.397964691358	1.09955742876	2.78283052957	-8.66308179956
0.35	0.9125515	0.0591675	-0.417898919753	1.23918376892	2.34649821657	-10.4342677812
0.4	0.915124	0.0366819444444	-0.452516512346	1.34390352404	1.73563297837	-12.0718606596
0.45	0.9163245	0.0121955555556	-0.458180246914	1.41371669412	1.08598264569	-12.8798834615
0.5	0.916153	-0.00962305555556	-0.449711111111	1.44862327916	0.465421133865	-13.8979921918
0.55	0.915467	-0.0326802777778	-0.43346095679	1.46607657168	-0.261799387799	-15.4440091527
0.6	0.9128945	-0.0550705555556	-0.376188425926	1.43116998664	-1.14416028742	-15.7779919108
0.65	0.909636	-0.0711725	-0.299436882716	1.34390352404	-1.90046962995	-14.9376481969
0.7	0.9056915	-0.0844161111111	-0.231472067901	1.23918376892	-2.61799387799	-14.2427485873
0.75	0.901061	-0.0941344444444	-0.173035030864	1.08210413624	-3.31612557879	-13.5316885216
0.8	0.8960875	-0.100136944444	-0.149586111111	0.907571211037	-3.99486473234	-12.2442388574
0.85	0.891114	-0.107473333333	-0.152073919753	0.680678408278	-4.60572997054	-9.63701861672
0.9	0.8854545	-0.116143611111	-0.129207253086	0.436332312999	-4.99358091543	-6.21638875556
0.95	0.8796235	-0.125195	-0.0160384259259	0.174532925199	-5.20689893512	-2.96275027345
1	0.872249	-0.1209075	0.15133287037	-0.0872664625997	-5.30386167134	0.554842323936
1.05	0.8669325	-0.104900833333	0.226337654321	-0.366519142919	-5.16811384063	4.39025722338
