Time,Voltage
-0.005,0.308
-0.004996,0.284
-0.004992,0.248
-0.004988,0.204
-0.004984,0.156
-0.00498,0.116
-0.004976,0.072
-0.004972,0.028
-0.004968,-0.004
-0.004964,-0.024
-0.00496,-0.036
-0.004956,-0.036
-0.004952,-0.028
-0.004948,-0.008
-0.004944,0.02
-0.00494,0.048
-0.004936,0.088
-0.004932,0.12
-0.004928,0.148
-0.004924,0.176
-0.00492,0.192
-0.004916,0.196
-0.004912,0.192
-0.004908,0.18
-0.004904,0.156
-0.0049,0.124
-0.004896,0.084
-0.004892,0.036
-0.004888,-0.004
-0.004884,-0.048
-0.00488,-0.084
-0.004876,-0.112
-0.004872,-0.136
-0.004868,-0.128
-0.004864,-0.104
-0.00486,-0.072
-0.004856,-0.032
-0.004852,0.012
-0.004848,0.064
-0.004844,0.112
-0.00484,0.168
-0.004836,0.228
-0.004832,0.256
-0.004828,0.264
-0.004824,0.272
-0.00482,0.272
-0.004816,0.26
-0.004812,0.232
-0.004808,0.2
-0.004804,0.164
-0.0048,0.116
-0.004796,0.072
-0.004792,0.028
-0.004788,-0.012
-0.004784,-0.048
-0.00478,-0.068
-0.004776,-0.08
-0.004772,-0.084
-0.004768,-0.08
-0.004764,-0.06
-0.00476,-0.028
-0.004756,-0.004
-0.004752,0.032
-0.004748,0.072
-0.004744,0.104
-0.00474,0.132
-0.004736,0.152
-0.004732,0.164
-0.004728,0.16
-0.004724,0.152
-0.00472,0.132
-0.004716,0.1
-0.004712,0.064
-0.004708,0.024
-0.004704,-0.024
-0.0047,-0.068
-0.004696,-0.108
-0.004692,-0.132
-0.004688,-0.128
-0.004684,-0.116
-0.00468,-0.088
-0.004676,-0.048
-0.004672,0
-0.004668,0.056
-0.004664,0.112
-0.00466,0.164
-0.004656,0.248
-0.004652,0.288
-0.004648,0.308
-0.004644,0.324
-0.00464,0.332
-0.004636,0.336
-0.004632,0.32
-0.004628,0.3
-0.004624,0.268
-0.00462,0.232
-0.004616,0.184
-0.004612,0.14
-0.004608,0.096
-0.004604,0.052
-0.0046,0.016
-0.004596,-0.008
-0.004592,-0.028
-0.004588,-0.04
-0.004584,-0.032
-0.00458,-0.016
-0.004576,0.004
-0.004572,0.032
-0.004568,0.068
-0.004564,0.1
-0.00456,0.132
-0.004556,0.16
-0.004552,0.184
-0.004548,0.196
-0.004544,0.2
-0.00454,0.192
-0.004536,0.168
-0.004532,0.144
-0.004528,0.108
-0.004524,0.068
-0.00452,0.024
-0.004516,-0.024
-0.004512,-0.064
-0.004508,-0.1
-0.004504,-0.124
-0.0045,-0.136
-0.004496,-0.12
-0.004492,-0.092
-0.004488,-0.056
-0.004484,-0.012
-0.00448,0.032
-0.004476,0.084
-0.004472,0.132
-0.004468,0.2
-0.004464,0.24
-0.00446,0.26
-0.004456,0.268
-0.004452,0.276
-0.004448,0.268
-0.004444,0.248
-0.00444,0.22
-0.004436,0.184
-0.004432,0.148
-0.004428,0.096
-0.004424,0.052
-0.00442,0.012
-0.004416,-0.028
-0.004412,-0.056
-0.004408,-0.076
-0.004404,-0.084
-0.0044,-0.084
-0.004396,-0.072
-0.004392,-0.048
-0.004388,-0.02
-0.004384,0.012
-0.00438,0.048
-0.004376,0.084
-0.004372,0.116
-0.004368,0.14
-0.004364,0.156
-0.00436,0.164
-0.004356,0.156
-0.004352,0.144
-0.004348,0.12
-0.004344,0.088
-0.00434,0.044
-0.004336,0.004
-0.004332,-0.036
-0.004328,-0.08
-0.004324,-0.12
-0.00432,-0.136
-0.004316,-0.128
-0.004312,-0.104
-0.004308,-0.068
-0.004304,-0.028
-0.0043,0.024
-0.004296,0.076
-0.004292,0.132
-0.004288,0.192
-0.004284,0.264
-0.00428,0.3
-0.004276,0.316
-0.004272,0.328
-0.004268,0.336
-0.004264,0.332
-0.00426,0.312
-0.004256,0.292
-0.004252,0.252
-0.004248,0.212
-0.004244,0.168
-0.00424,0.124
-0.004236,0.08
-0.004232,0.036
-0.004228,0.004
-0.004224,-0.02
-0.00422,-0.032
-0.004216,-0.036
-0.004212,-0.028
-0.004208,-0.008
-0.004204,0.016
-0.0042,0.044
-0.004196,0.08
-0.004192,0.116
-0.004188,0.144
-0.004184,0.168
-0.00418,0.192
-0.004176,0.196
-0.004172,0.196
-0.004168,0.184
-0.004164,0.164
-0.00416,0.128
-0.004156,0.092
-0.004152,0.052
-0.004148,0.004
-0.004144,-0.04
-0.00414,-0.076
-0.004136,-0.108
-0.004132,-0.132
-0.004128,-0.128
-0.004124,-0.108
-0.00412,-0.076
-0.004116,-0.04
-0.004112,0.004
-0.004108,0.056
-0.004104,0.104
-0.0041,0.156
